filename,probs,pred_labels
IMG_20140922_141541933.jpg,"[0.35548124 0.45617482 0.22418107 0.3499609  0.35350117 0.70768875
 0.73617226 0.6859044  0.78561693 0.7446232  0.36144134 0.6312496
 0.53370446 0.70474154 0.61358285 0.20097911]","['Almondega', 'BifeBovinoChapa', 'CarneBovinaPanela', 'Cenoura', 'FeijaoCarioca', 'Macarrao', 'PeitoFrango', 'PureBatata', 'StrogonoffCarne', 'StrogonoffFrango']"
IMG_20140922_141545285.jpg,"[0.3838735  0.34833145 0.18426749 0.35580066 0.3459237  0.7063188
 0.76168835 0.6118119  0.73860687 0.72066736 0.35487267 0.6036283
 0.58593374 0.7259017  0.69379216 0.1451328 ]","['BifeBovinoChapa', 'CarneBovinaPanela', 'Cenoura', 'FeijaoCarioca', 'Macarrao', 'PeitoFrango', 'PureBatata', 'StrogonoffCarne', 'StrogonoffFrango']"
IMG_20140922_141548258.jpg,"[0.40356514 0.40343112 0.17608327 0.48137897 0.2425282  0.74641484
 0.65297824 0.66528696 0.6201858  0.8302255  0.3002823  0.62752104
 0.62977993 0.6616182  0.6350929  0.21758567]","['Alface', 'Almondega', 'BatataFrita', 'BifeBovinoChapa', 'CarneBovinaPanela', 'Cenoura', 'FeijaoCarioca', 'Macarrao', 'PeitoFrango', 'PureBatata', 'StrogonoffCarne', 'StrogonoffFrango']"
IMG_20140922_141552615.jpg,"[0.3636938  0.44333747 0.17861083 0.5321569  0.43730164 0.7780806
 0.7293588  0.6814022  0.7035483  0.6747186  0.45430052 0.6640905
 0.6367551  0.6987892  0.65780985 0.31222057]","['Almondega', 'BatataFrita', 'Beterraba', 'BifeBovinoChapa', 'CarneBovinaPanela', 'Cenoura', 'FeijaoCarioca', 'Macarrao', 'Maionese', 'PeitoFrango', 'PureBatata', 'StrogonoffCarne', 'StrogonoffFrango']"
IMG_20140922_141555901.jpg,"[0.4312541  0.4203866  0.29268798 0.45212165 0.42821315 0.7304669
 0.7500205  0.6277029  0.6828631  0.6548914  0.50399685 0.5740467
 0.594507   0.6800523  0.5517821  0.2733249 ]","['Alface', 'Almondega', 'BatataFrita', 'Beterraba', 'BifeBovinoChapa', 'CarneBovinaPanela', 'Cenoura', 'FeijaoCarioca', 'Macarrao', 'Maionese', 'PeitoFrango', 'PureBatata', 'StrogonoffCarne', 'StrogonoffFrango']"
IMG_20140922_141558768.jpg,"[0.29066178 0.40065834 0.36617362 0.39720026 0.449209   0.75366193
 0.67060673 0.5754138  0.6783224  0.6230447  0.47370207 0.47071117
 0.69227594 0.6682569  0.65786856 0.4019559 ]","['Almondega', 'Beterraba', 'BifeBovinoChapa', 'CarneBovinaPanela', 'Cenoura', 'FeijaoCarioca', 'Macarrao', 'Maionese', 'PeitoFrango', 'PureBatata', 'StrogonoffCarne', 'StrogonoffFrango', 'Tomate']"
IMG_20140922_141601906.jpg,"[0.34151328 0.3301649  0.31835836 0.39511085 0.35642922 0.6928935
 0.7606416  0.599246   0.7401915  0.74503833 0.42292827 0.60659814
 0.6584379  0.7326441  0.6208597  0.23321575]","['BifeBovinoChapa', 'CarneBovinaPanela', 'Cenoura', 'FeijaoCarioca', 'Macarrao', 'Maionese', 'PeitoFrango', 'PureBatata', 'StrogonoffCarne', 'StrogonoffFrango']"
IMG_20140922_141605398.jpg,"[0.42495042 0.30635408 0.19708575 0.41389245 0.40623805 0.7255287
 0.73732054 0.7169245  0.7635774  0.71098214 0.4156093  0.5491611
 0.6442559  0.7483002  0.66848993 0.25647742]","['Alface', 'BatataFrita', 'Beterraba', 'BifeBovinoChapa', 'CarneBovinaPanela', 'Cenoura', 'FeijaoCarioca', 'Macarrao', 'Maionese', 'PeitoFrango', 'PureBatata', 'StrogonoffCarne', 'StrogonoffFrango']"
IMG_20140922_141609496.jpg,"[0.39147997 0.4159059  0.2506557  0.3490243  0.35891104 0.7265978
 0.7440873  0.6542126  0.76600534 0.7542699  0.3975532  0.5813857
 0.54937214 0.6459423  0.6112911  0.2750183 ]","['Almondega', 'BifeBovinoChapa', 'CarneBovinaPanela', 'Cenoura', 'FeijaoCarioca', 'Macarrao', 'PeitoFrango', 'PureBatata', 'StrogonoffCarne', 'StrogonoffFrango']"
IMG_20140922_141715409.jpg,"[0.64790577 0.32264873 0.48551232 0.48068032 0.36733788 0.7351212
 0.5726157  0.44192174 0.60058504 0.34712973 0.36641884 0.9086439
 0.68329257 0.5629395  0.6819055  0.42802557]","['Alface', 'Arroz', 'BatataFrita', 'BifeBovinoChapa', 'CarneBovinaPanela', 'Cenoura', 'FeijaoCarioca', 'PeitoFrango', 'PureBatata', 'StrogonoffCarne', 'StrogonoffFrango', 'Tomate']"
IMG_20140922_141718090.jpg,"[0.65379095 0.4022793  0.43264213 0.47248477 0.45895928 0.74640036
 0.5573359  0.463173   0.59472346 0.41063932 0.32572463 0.92821157
 0.68111897 0.5520549  0.6924649  0.3999035 ]","['Alface', 'Almondega', 'Arroz', 'BatataFrita', 'Beterraba', 'BifeBovinoChapa', 'CarneBovinaPanela', 'Cenoura', 'FeijaoCarioca', 'Macarrao', 'PeitoFrango', 'PureBatata', 'StrogonoffCarne', 'StrogonoffFrango']"
IMG_20140922_141722942.jpg,"[0.7424042  0.3539269  0.326147   0.5453527  0.46149138 0.8045207
 0.7153908  0.62079716 0.67072946 0.3536007  0.37270665 0.946893
 0.5923599  0.49434632 0.742624   0.31055957]","['Alface', 'BatataFrita', 'Beterraba', 'BifeBovinoChapa', 'CarneBovinaPanela', 'Cenoura', 'FeijaoCarioca', 'PeitoFrango', 'PureBatata', 'StrogonoffCarne', 'StrogonoffFrango']"
IMG_20140922_141725524.jpg,"[0.7236533  0.38853282 0.40763626 0.5334505  0.36035788 0.77579457
 0.6743219  0.6037516  0.68554884 0.38504136 0.38771614 0.9044039
 0.6193439  0.5183785  0.71443725 0.43878302]","['Alface', 'Arroz', 'BatataFrita', 'BifeBovinoChapa', 'CarneBovinaPanela', 'Cenoura', 'FeijaoCarioca', 'PeitoFrango', 'PureBatata', 'StrogonoffCarne', 'StrogonoffFrango', 'Tomate']"
